karma,networkExp,bedwars_beds,bedwars_bedwars_challenger,bedwars_bedwars_killer,bedwars_collectors_edition,bedwars_level,bedwars_loot_box,bedwars_slumber_ticket_master,bedwars_wins,challenges,all_timeBEDWARS__defensive,BEDWARS__offensive,BEDWARS__support,Bedwars_openedChests,Experience,_items_purchased_bedwars,beds_broken_bedwars,beds_lost_bedwars,coins,deaths_bedwars,diamond_resources_collected_bedwars,emerald_resources_collected_bedwars,fall_deaths_bedwars,fall_final_deaths_bedwars,fall_final_kills_bedwars,fall_kills_bedwars,final_deaths_bedwars,final_kills_bedwars,games_played_bedwars,games_played_bedwars_1,kills_bedwars,losses_bedwars,void_deaths_bedwars,void_final_deaths_bedwars,void_final_kills_bedwars,void_kills_bedwars,wins_bedwars,Cheat,fkdr,wlr,bblr,fk_lev,bb_lev,kill_lev
250.0,500386.0,202.0,0.0,862.0,260.0,16.0,18.0,0.0,116.0,0.0,0.0,41.0,36.0,54.0,71834.0,6337.0,202.0,195.0,62142.0,1208.0,1107.0,865.0,43.0,5.0,12.0,27.0,213.0,433.0,341.0,341.0,725.0,224.0,680.0,88.0,119.0,295.0,116.0,0,2.032863849765258,0.5178571428571429,1.035897435897436,27.0625,45.3125,12.625
26600.0,7370622.0,578.0,0.0,2143.0,547.0,84.0,97.0,0.0,290.0,0.0,0.0,77.0,402.0,287.0,409914.0,47399.0,578.0,1756.0,31876.0,7067.0,12385.0,4279.0,194.0,32.0,30.0,183.0,1719.0,1078.0,2089.0,2127.0,5008.0,1771.0,4217.0,629.0,284.0,1901.0,290.0,0,0.627108784176847,0.1637492941840768,0.32915717539863326,12.833333333333334,59.61904761904762,6.880952380952381
245.0,115459.0,74.0,0.0,262.0,65.0,9.0,0.0,0.0,42.0,0.0,0.0,11.0,9.0,0.0,30442.0,5099.0,74.0,92.0,24558.0,420.0,299.0,518.0,17.0,5.0,5.0,11.0,101.0,147.0,153.0,158.0,328.0,111.0,204.0,36.0,58.0,162.0,42.0,0,1.4554455445544554,0.3783783783783784,0.8043478260869565,16.333333333333332,36.44444444444444,8.222222222222221
1300.0,30250.0,6.0,0.0,15.0,1.0,2.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,2365.0,183.0,6.0,3.0,490.0,12.0,18.0,1.0,1.0,0.0,0.0,0.0,3.0,15.0,13.0,13.0,3.0,3.0,9.0,2.0,7.0,2.0,10.0,0,5.0,3.3333333333333335,2.0,7.5,1.5,3.0
40.0,31749.0,18.0,0.0,46.0,10.0,3.0,1.0,0.0,5.0,0.0,0.0,5.0,3.0,0.0,4778.0,838.0,18.0,33.0,910.0,56.0,87.0,163.0,0.0,2.0,2.0,1.0,37.0,33.0,52.0,52.0,94.0,47.0,30.0,17.0,6.0,22.0,5.0,0,0.8918918918918919,0.10638297872340426,0.5454545454545454,11.0,31.333333333333332,6.0
0.0,54512.0,51.0,0.0,183.0,19.0,3.0,0.0,0.0,17.0,0.0,0.0,14.0,0.0,0.0,4234.0,705.0,51.0,11.0,1584.0,34.0,48.0,17.0,0.0,0.0,1.0,2.0,13.0,186.0,30.0,30.0,71.0,13.0,15.0,3.0,25.0,14.0,17.0,0,14.307692307692308,1.3076923076923077,4.636363636363637,62.0,23.666666666666668,17.0
6470.0,68406.0,29.0,0.0,28.0,28.0,2.0,2.0,0.0,5.0,0.0,0.0,6.0,4.0,5.0,2225.0,297.0,28.0,3.0,615.0,20.0,66.0,4.0,0.0,0.0,0.0,2.0,1.0,28.0,6.0,6.0,26.0,1.0,9.0,0.0,6.0,11.0,5.0,0,28.0,5.0,9.333333333333334,14.0,13.0,14.0
0.0,436.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.0,8.0,132.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,23.0,24.0,1.0,23.0,4.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,6.0,120.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,22.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,22780.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
