karma,networkExp,bedwars_beds,bedwars_bedwars_challenger,bedwars_bedwars_killer,bedwars_collectors_edition,bedwars_level,bedwars_loot_box,bedwars_slumber_ticket_master,bedwars_wins,challenges,all_timeBEDWARS__defensive,BEDWARS__offensive,BEDWARS__support,Bedwars_openedChests,Experience,_items_purchased_bedwars,beds_broken_bedwars,beds_lost_bedwars,coins,deaths_bedwars,diamond_resources_collected_bedwars,emerald_resources_collected_bedwars,fall_deaths_bedwars,fall_final_deaths_bedwars,fall_final_kills_bedwars,fall_kills_bedwars,final_deaths_bedwars,final_kills_bedwars,games_played_bedwars,games_played_bedwars_1,kills_bedwars,losses_bedwars,void_deaths_bedwars,void_final_deaths_bedwars,void_final_kills_bedwars,void_kills_bedwars,wins_bedwars,Cheat
7078819,51289256.0,0,0,0,0,1,0,0,0,0,0,0,0,0,500,0,0,0,42500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,57588,3,0,2,4,2,0,0,2,0,0,0,1,0,1642,125,3,3,20224,9,33,6,0,0,0,0,3,2,4,4,5,2,3,0,1,2,2,1
4143795,43981616.0,122,1,678,542,22,6,0,170,0,0,18,35,15,100477,3043,122,187,293718,1493,1172,531,41,5,11,39,175,366,349,360,856,173,972,87,110,390,170,1
40392990,120853398.0,1328,2,6420,1155,184,72,0,1149,0,0,205,138,175,897988.0,45959,1312,884,2068478,5933,6511,3419,239,34,78,269,730,3554,1809,2128,7273,672,2686,242,1397,3452,1116,1
373005,32734563,85,0,125,46,10,24,0,16,0,0,20,26,72,41910,3044,85,58,92057,169,901,617,5,1,1,6,54,125,70,73,240,54,103,31,43,92,16,1
2391460,46637912.0,2600,24,11819,4137,382,315,174,1433,0,0,539,369,945,1859101,126720,2596,3875,1046806,23666,14677,3587,788,122,206,1059,3686,6458,5308,5811,22521,3819,14645,1321,1905,9325,1432,1
27019,19881509.0,1166,0,3293,648,49,44,0,341,0,0,267,82,132,234578,26718,1156,817,331912,3742,3248,1234,64,10,36,85,737,1687,1078,1096,3754,716,2299,307,443,1431,332,1
6274915,23105277.0,19,0,147,1058,21,3,31,78,0,0,0,15,6,94665,5487,19,363,426989,1091,689,232,33,13,4,20,379,85,446,459,418,368,532,116,37,176,78,1
6585095,18838792.0,674,6,3557,2079,165,174,0,1165,0,0,83,132,513,800810,49894,674,1932,344227,11022,4829,2219,254,36,42,121,1827,1792,3051,3403,4099,1799,5672,571,493,1659,1165,1
73633835,133350475.0,297,0,1658,819,47,84,0,547,0,0,15,25,243,226606.0,14438,297,193,765637,1455,2685,685,54,10,17,68,156,843,691,780,934,135,732,61,200,328,546,1
28189595,99350262.0,1210,3,3302,599,88,153,0,452,0,0,215,93,450,431772,24103,1197,557,810640,2659,3853,1453,67,14,32,91,428,1667,878,949,2545,422,1278,117,538,1108,449,1
39304510,140622719.0,56,0,222,754,17,88,0,89,0,0,7,44,263,75141,4871,54,158,241423,656,1391,582,9,1,5,14,153,105,245,260,469,153,403,62,34,183,86,1
131951430,194199386.0,1232,0,10298,1677,157,193,0,1911,0,0,98,30,575,760040,56417,1220,673,1216380,5518,2448,1959,255,26,189,465,534,5053,2317,2461,6976,459,2267,159,1489,3006,1849,1
13965530,64198053.0,72,0,190,109,14,41,0,50,0,0,13,28,125,61258,4180,72,123,317560,313,1095,462,10,6,3,16,113,160,175,175,549,114,205,42,51,224,50,1
80494355,165921708.0,123,0,222,4,12,120,0,44,0,0,1,1,344,51599,3107,123,77,707504,161,935,730,12,1,3,12,62,167,116,135,398,67,69,27,57,142,44,1
