karma,networkExp,bedwars_beds,bedwars_bedwars_challenger,bedwars_bedwars_killer,bedwars_collectors_edition,bedwars_level,bedwars_loot_box,bedwars_slumber_ticket_master,bedwars_wins,challenges,all_timeBEDWARS__defensive,BEDWARS__offensive,BEDWARS__support,Bedwars_openedChests,Experience,_items_purchased_bedwars,beds_broken_bedwars,beds_lost_bedwars,coins,deaths_bedwars,diamond_resources_collected_bedwars,emerald_resources_collected_bedwars,fall_deaths_bedwars,fall_final_deaths_bedwars,fall_final_kills_bedwars,fall_kills_bedwars,final_deaths_bedwars,final_kills_bedwars,games_played_bedwars,games_played_bedwars_1,kills_bedwars,losses_bedwars,void_deaths_bedwars,void_final_deaths_bedwars,void_final_kills_bedwars,void_kills_bedwars,wins_bedwars,Cheat
7436681,25425975.0,1704,6,3893,19546,449,555,0,453,0,0,232,1459,1623,2180561,106960,1685,5991,251875,8085,47731,15724,95,40,55,203,6361,2033,7771,12286,12175,7282,1992,712,536,4548,451,0
14510,703168,259,0,455,412,12,12,0,88,0,0,72,40,36,47060,7559,259,140,30569,932,1149,226,23,4,13,21,129,455,223,225,811,135,476,47,147,339,88,0
230,534033.0,282,0,513,351,14,4,0,51,0,0,70,11,9,61815,10462,281,345,121818,1861,567,199,29,10,10,26,343,349,407,408,764,356,1134,101,132,319,51,0
10460,668135.0,40,0,139,77,40,36,0,62,0,0,3,28,103,191587,8927,40,299,197574,815,973,1157,37,15,3,14,309,81,397,1228,276,321,479,157,26,90,62,0
105,239588,32,0,128,183,11,7,0,66,0,0,2,21,18,44756,4554,32,182,16757,782,744,568,28,7,0,15,208,97,271,271,327,204,372,61,32,136,66,0
29690,303861.0,164,0,401,112,10,0,0,49,0,0,38,12,0,40190,6358,164,155,67009,510,615,157,5,3,8,15,169,207,239,241,332,190,269,60,65,127,49,0
46173,5151432.0,1769,7,4287,1774,108,122,0,543,0,0,516,65,366,516643,35525,1767,892,417519,3986,2640,2244,147,40,73,169,762,2607,1272,1287,3767,729,1766,235,990,1713,543,0
0,9755,0,0,2,7,3,3,0,6,0,0,0,2,6,4349,241,0,10,1164,26,55,23,0,0,0,0,11,2,14,14,12,8,12,5,1,6,6,0
3980,1672443.0,351,0,806,1280,43,48,0,84,0,0,46,93,144,203422,23957,351,1017,132421,3001,3082,911,60,13,12,51,1054,524,1154,1170,1757,1070,1779,387,155,703,83,0
285,364547.0,11,0,63,89,10,2,0,14,0,0,0,23,2,40770,3262,11,176,20108,502,721,464,7,3,0,3,185,33,222,223,302,201,264,61,9,91,14,0
45555,580624.0,190,0,412,198,15,4,0,33,0,0,27,30,9,66794,10906,190,466,21634,1898,1123,388,25,11,8,23,488,211,612,626,877,578,1306,122,73,342,33,0
525,413592.0,16,0,89,252,9,4,0,33,0,0,2,46,12,36767,2686,16,122,10777,290,1518,330,3,4,1,4,129,51,158,162,252,124,175,42,13,81,33,0
1410,435220.0,3,0,55,61,9,14,0,13,0,0,0,25,36,36522,1959,3,85,19833,176,495,149,2,2,2,3,87,29,110,159,145,88,94,18,11,65,13,0
1209330,1921172.0,465,0,1748,475,71,78,0,318,0,0,62,149,222,346417,24675,465,1164,105071,5211,5110,2882,105,26,29,55,1196,882,1706,1875,2821,1315,3019,473,308,1374,317,0
0,7265.0,5,0,16,0,1,0,0,0,0,0,1,1,0,1219,31,5,3,5172,41,13,0,1,0,1,0,11,8,13,13,5,13,28,1,2,2,0,0
