MCID,Solo_W,Solo_L,Doubles_W,Doubles_L,3s_W,3s_L,4s_W,4s_L,4v_W,4v_L,Ws,Solo_FD,Solo_FK,Doubles_FD,Doubles_FK,3s_FD,3s_FK,4s_FD,4s_FK,4v_FD,4v_FK,UUID,Rank,Star,Online,'queue',fkdr_solo,fkdr_doubles,fkdr_3s,fkdr_4s,fkdr_4v,time
1999numa,4600,2020,2445,871,2084,503,1888,387,119,25,15,2004,14791,956,8780,538,4126,404,3333,25,171,6d27c53521cb45a7ac0eb8e7eb41d73e,NONE,1610,False,17568,0,0,0,0,0,1713539628.7980726
Prouder,3,0,1,1,84,0,79,0,0,0,0,0,16,1,9,0,430,0,443,0,0,3182c9aca20248a9b67f8d301749a049,SUPERSTAR,13,False,175,0,0,0,0,0,1713539628.9174068
UntiMelee,251,748,752,855,8083,5542,5993,1954,481,39,0,701,1276,875,3631,5664,28435,2238,18459,39,562,a12ed6b864b04d07a9f3c9848af6c6eb,SUPERSTAR,1509,False,25721,0,0,0,0,0,1713539629.3671057
11ons,4,23,28,8,1082,56,333,34,219,2,0,23,47,10,150,65,3825,45,1184,2,256,a22d720013434d1fb3c4fdee0521f76e,MVP_PLUS,149,False,1856,0,0,0,0,0,1713539629.8076947
daikich,79,241,550,816,1452,671,4972,2704,636,400,0,239,374,847,2071,716,3023,2988,11913,419,800,01bc456b89cd45c7afa6ad3454db407a,MVP_PLUS,1372,False,22912,0,0,0,0,0,1713539681.4051518
Kokoachan,173,9,1996,66,1141,25,3651,102,798,2,1,9,755,78,11341,31,4392,132,15668,2,1297,f5163a761c79454dbd38f506af0e2e7c,SUPERSTAR,612,False,8351,0,3,0,0,0,1713540793.7888176
ozmil,405,274,399,91,335,32,590,141,32,2,0,264,1695,110,1368,44,449,162,1144,2,25,1763011d9242457297d03e2474f5fab4,MVP_PLUS,146,False,2350,1.0,0,0,0,0,1713629455.4199843
maruiie,159,214,344,214,596,239,1601,493,256,18,1,213,788,242,1783,265,1814,583,5334,19,243,34ab2d8162f04ca98b088f5018d9525f,SUPERSTAR,366,False,4443,0,0,0,8.0,12,1713629460.111723
Tai0822,758,1102,1971,1085,991,146,2551,1251,845,650,0,1091,3384,1165,6645,178,2312,1233,5945,683,953,17c729967738442caf0efb51949fd273,MVP_PLUS,876,False,12391,0,0,0,5.0,0,1713629462.042591
Moviy,306,827,871,2124,985,925,1863,852,120,29,0,758,1555,2198,4986,935,2843,962,5639,31,125,66f63127f84c4a2ab7482cadb88bef6e,MVP_PLUS,567,False,9331,0,6.0,0,3.0,0,1713629463.738719
Hakuryu_999,169,683,231,709,861,757,3387,5037,2434,1343,1,681,901,737,1318,811,2684,5346,11836,1386,3443,0892bd2e292c41f2843c56e99982f458,MVP_PLUS,1355,False,19247,0,0,0,9.0,13,1713629465.0420015
lflk,660,2157,1200,2739,1135,922,4590,3090,229,14,0,2133,3473,2856,6325,1008,3032,3492,13679,15,201,5d1b3f7936e243ba97ed71156ffe00b5,SUPERSTAR,1270,False,21203,0.0,0,0,0.2,0,1713629466.5521128
Sheep_Wars,209,1417,203,321,351,229,3801,3301,838,355,0,1370,1397,327,832,249,784,3527,10852,367,1191,e44b43cda004469eb1a8a00c1952a92b,SUPERSTAR,841,False,12691,0,0,0,15.33,0,1713629468.0120656
Fevn,104,93,2458,540,1764,425,8889,1291,1702,460,0,92,395,617,9372,439,3932,1512,22019,421,1590,7a276cf3875a48b886860d2c837721a7,MVP_PLUS,1336,False,18891,0,0,0,12.57,0,1713629470.0663028
siroru,151,207,431,424,512,208,1768,496,288,24,0,203,724,466,2089,241,1402,604,5332,33,286,2cd3130524434d0c9aec4138a24219be,SUPERSTAR,376,False,4635,2.75,0,0,0,0,1713629471.7120502
pappl,145,666,26,107,75,82,756,1190,211,92,0,654,959,111,157,87,165,1224,2470,96,281,379527a711c34b75bdc64b20d25e3619,SUPERSTAR,185,False,4371,1.4,0,0,0,2.5,1713629475.6420567
hinajapanese,129,167,45,246,57,57,297,794,16,6,0,150,464,239,314,55,160,779,990,6,20,7d631387bd2e4cc0bfe7f4c60a8c273a,MVP_PLUS,134,False,1921,0,0,14.5,0,0,1713629477.28786
MayoiShigure,23,389,386,1390,671,669,1419,1363,145,114,0,308,202,1463,1676,727,1546,1518,2620,111,111,941af0d1511441ce870385c5d49f3db0,SUPERSTAR,432,False,7284,0,0,0,1.0,0,1713629478.5568259
az1y,112,442,85,235,199,182,745,725,163,32,2,438,771,242,440,197,520,778,1887,34,149,a485c6081ef74ea393f1fae7baaed239,SUPERSTAR,232,False,2959,0,0,0,0,4,1713629479.7156236
TURUHASHI,1330,1283,3376,1300,3110,474,12748,3179,734,50,2,1219,4996,1411,11219,529,6088,3397,31540,45,657,097fc78c0fa74230a62d98a9f41b97da,SUPERSTAR,2118,False,35091,0,27,0,0,0,1713629483.6986597
HB6,77,12,181,22,1156,45,925,32,757,13,6,11,345,29,800,55,3786,44,3085,3,988,292671885e654935b9632615078c6670,SUPERSTAR,270,False,3502,6.0,0,17,0,0,1713629484.9026577
oRollbacks,138,397,38,36,75,45,269,115,190,29,0,395,722,40,129,46,173,132,517,33,259,808d9fc0e8cc442584efe83cdea05b4f,VIP_PLUS,61,False,1341,0,4.0,0,0,0,1713629497.3594935
ktiez,191,356,1265,943,757,298,1733,818,167,12,2,256,886,920,6072,297,2232,836,5109,12,217,e1bf625aba884ab99adc2493a7af7a45,MVP_PLUS,447,False,8182,0,73.0,0,0,0,1713629656.8045533
GBANANAS,862,1442,8519,1856,1734,342,4303,821,4211,119,1,1324,3708,2118,41577,385,4722,924,13468,103,3927,3837a34367264ccea4a2651d45abf42a,SUPERSTAR,1410,False,25070,0,115.5,0,0,0,1713629657.339968
D00PE,471,810,707,770,929,325,4013,2449,896,90,1,756,1530,818,2539,347,2046,2523,10658,85,605,bcc22c0be6744304a371625ed90508fa,MVP_PLUS,725,False,11985,0,0,0,24.0,3,1713629661.5175395
2BK1,363,1474,395,1284,419,636,1771,1024,513,360,0,1449,1904,1298,2129,650,1153,1117,4903,352,452,cd70dcbba5124da2bd47fbdb989eb8fa,MVP_PLUS,584,False,10884,0,15.0,0,4.0,0,1713631820.4840693
Gokiton,4,133,25,152,207,270,420,284,612,446,1000000000000000000,131,80,156,184,290,432,331,766,473,534,1ced16db2bc54354917f7bf8382b8840,MVP_PLUS,174,True,3005,0,0,0,0,0,1713631901.610958
TensaiMC,613,1021,659,679,852,388,963,329,5,9,1,857,2496,700,2889,413,1975,350,2186,9,7,ad8c3c74ed9a42fca67b886a02b361e1,SUPERSTAR,476,True,6864,0,0,0,10,0,1713631904.282524
